base,exchange_rt,txn_curr,date,time
USD,3.673,AED,2024-03-04,04:00:00
USD,72.268373,AFN,2024-03-04,04:00:00
USD,95.893506,ALL,2024-03-04,04:00:00
USD,403.43185,AMD,2024-03-04,04:00:00
USD,1.798684,ANG,2024-03-04,04:00:00
USD,830.838,AOA,2024-03-04,04:00:00
USD,840.392556,ARS,2024-03-04,04:00:00
USD,1.53305,AUD,2024-03-04,04:00:00
USD,1.8025,AWG,2024-03-04,04:00:00
USD,1.7,AZN,2024-03-04,04:00:00
USD,1.804219,BAM,2024-03-04,04:00:00
USD,2.0,BBD,2024-03-04,04:00:00
USD,109.537227,BDT,2024-03-04,04:00:00
USD,1.804219,BGN,2024-03-04,04:00:00
USD,0.376194,BHD,2024-03-04,04:00:00
USD,2852.188516,BIF,2024-03-04,04:00:00
USD,1.0,BMD,2024-03-04,04:00:00
USD,1.343708,BND,2024-03-04,04:00:00
USD,6.896997,BOB,2024-03-04,04:00:00
USD,4.9545,BRL,2024-03-04,04:00:00
USD,1.0,BSD,2024-03-04,04:00:00
USD,1.5744806e-05,BTC,2024-03-04,04:00:00
USD,82.734452,BTN,2024-03-04,04:00:00
USD,13.747043,BWP,2024-03-04,04:00:00
USD,3.266099,BYN,2024-03-04,04:00:00
USD,2.011688,BZD,2024-03-04,04:00:00
USD,1.35597,CAD,2024-03-04,04:00:00
USD,2767.018312,CDF,2024-03-04,04:00:00
USD,0.88275,CHF,2024-03-04,04:00:00
USD,0.034973,CLF,2024-03-04,04:00:00
USD,961.538462,CLP,2024-03-04,04:00:00
USD,7.209122,CNH,2024-03-04,04:00:00
USD,7.1986,CNY,2024-03-04,04:00:00
USD,3916.966045,COP,2024-03-04,04:00:00
USD,510.970821,CRC,2024-03-04,04:00:00
USD,1.0,CUC,2024-03-04,04:00:00
USD,25.75,CUP,2024-03-04,04:00:00
USD,101.725164,CVE,2024-03-04,04:00:00
USD,23.3789,CZK,2024-03-04,04:00:00
USD,177.718927,DJF,2024-03-04,04:00:00
USD,6.874027,DKK,2024-03-04,04:00:00
USD,58.606195,DOP,2024-03-04,04:00:00
USD,134.793,DZD,2024-03-04,04:00:00
USD,30.823752,EGP,2024-03-04,04:00:00
USD,15.0,ERN,2024-03-04,04:00:00
USD,56.358721,ETB,2024-03-04,04:00:00
USD,0.922173,EUR,2024-03-04,04:00:00
USD,2.2452,FJD,2024-03-04,04:00:00
USD,0.78965,FKP,2024-03-04,04:00:00
USD,0.78965,GBP,2024-03-04,04:00:00
USD,2.65,GEL,2024-03-04,04:00:00
USD,0.78965,GGP,2024-03-04,04:00:00
USD,12.675862,GHS,2024-03-04,04:00:00
USD,0.78965,GIP,2024-03-04,04:00:00
USD,67.925,GMD,2024-03-04,04:00:00
USD,8577.253499,GNF,2024-03-04,04:00:00
USD,7.796485,GTQ,2024-03-04,04:00:00
USD,208.810384,GYD,2024-03-04,04:00:00
USD,7.827597,HKD,2024-03-04,04:00:00
USD,24.646338,HNL,2024-03-04,04:00:00
USD,6.948056,HRK,2024-03-04,04:00:00
USD,132.322881,HTG,2024-03-04,04:00:00
USD,363.14,HUF,2024-03-04,04:00:00
USD,15723.136969,IDR,2024-03-04,04:00:00
USD,3.56675,ILS,2024-03-04,04:00:00
USD,0.78965,IMP,2024-03-04,04:00:00
USD,82.877402,INR,2024-03-04,04:00:00
USD,1307.456706,IQD,2024-03-04,04:00:00
USD,42042.5,IRR,2024-03-04,04:00:00
USD,137.87,ISK,2024-03-04,04:00:00
USD,0.78965,JEP,2024-03-04,04:00:00
USD,155.680537,JMD,2024-03-04,04:00:00
USD,0.709,JOD,2024-03-04,04:00:00
USD,150.163,JPY,2024-03-04,04:00:00
USD,144.213958,KES,2024-03-04,04:00:00
USD,89.3998,KGS,2024-03-04,04:00:00
USD,4058.980288,KHR,2024-03-04,04:00:00
USD,454.525146,KMF,2024-03-04,04:00:00
USD,900.0,KPW,2024-03-04,04:00:00
USD,1330.646889,KRW,2024-03-04,04:00:00
USD,0.307496,KWD,2024-03-04,04:00:00
USD,0.831723,KYD,2024-03-04,04:00:00
USD,451.414681,KZT,2024-03-04,04:00:00
USD,20851.1585,LAK,2024-03-04,04:00:00
USD,89389.340643,LBP,2024-03-04,04:00:00
USD,307.873954,LKR,2024-03-04,04:00:00
USD,191.999993,LRD,2024-03-04,04:00:00
USD,19.132576,LSL,2024-03-04,04:00:00
USD,4.820044,LYD,2024-03-04,04:00:00
USD,10.050741,MAD,2024-03-04,04:00:00
USD,17.734995,MDL,2024-03-04,04:00:00
USD,4494.376869,MGA,2024-03-04,04:00:00
USD,56.851236,MKD,2024-03-04,04:00:00
USD,2095.819936,MMK,2024-03-04,04:00:00
USD,3450.0,MNT,2024-03-04,04:00:00
USD,8.047398,MOP,2024-03-04,04:00:00
USD,39.831553,MRU,2024-03-04,04:00:00
USD,45.790001,MUR,2024-03-04,04:00:00
USD,15.4,MVR,2024-03-04,04:00:00
USD,1680.143347,MWK,2024-03-04,04:00:00
USD,17.01176,MXN,2024-03-04,04:00:00
USD,4.7285,MYR,2024-03-04,04:00:00
USD,63.850001,MZN,2024-03-04,04:00:00
USD,19.132576,NAD,2024-03-04,04:00:00
USD,1584.389121,NGN,2024-03-04,04:00:00
USD,36.73381,NIO,2024-03-04,04:00:00
USD,10.51521,NOK,2024-03-04,04:00:00
USD,132.367161,NPR,2024-03-04,04:00:00
USD,1.639506,NZD,2024-03-04,04:00:00
USD,0.38422,OMR,2024-03-04,04:00:00
USD,1.0,PAB,2024-03-04,04:00:00
USD,3.773748,PEN,2024-03-04,04:00:00
USD,3.806221,PGK,2024-03-04,04:00:00
USD,56.013374,PHP,2024-03-04,04:00:00
USD,278.69871,PKR,2024-03-04,04:00:00
USD,3.981031,PLN,2024-03-04,04:00:00
USD,7296.105268,PYG,2024-03-04,04:00:00
USD,3.641035,QAR,2024-03-04,04:00:00
USD,4.5805,RON,2024-03-04,04:00:00
USD,108.102741,RSD,2024-03-04,04:00:00
USD,91.67825,RUB,2024-03-04,04:00:00
USD,1289.465095,RWF,2024-03-04,04:00:00
USD,3.7503,SAR,2024-03-04,04:00:00
USD,8.475946,SBD,2024-03-04,04:00:00
USD,13.553872,SCR,2024-03-04,04:00:00
USD,601.0,SDG,2024-03-04,04:00:00
USD,10.321209,SEK,2024-03-04,04:00:00
USD,1.344175,SGD,2024-03-04,04:00:00
USD,0.78965,SHP,2024-03-04,04:00:00
USD,20969.5,SLL,2024-03-04,04:00:00
USD,570.378948,SOS,2024-03-04,04:00:00
USD,35.395,SRD,2024-03-04,04:00:00
USD,130.26,SSP,2024-03-04,04:00:00
USD,22281.8,STD,2024-03-04,04:00:00
USD,22.601163,STN,2024-03-04,04:00:00
USD,8.732352,SVC,2024-03-04,04:00:00
USD,2512.53,SYP,2024-03-04,04:00:00
USD,19.128887,SZL,2024-03-04,04:00:00
USD,35.847,THB,2024-03-04,04:00:00
USD,10.928354,TJS,2024-03-04,04:00:00
USD,3.51,TMT,2024-03-04,04:00:00
USD,3.125,TND,2024-03-04,04:00:00
USD,2.372965,TOP,2024-03-04,04:00:00
USD,31.40248,TRY,2024-03-04,04:00:00
USD,6.772969,TTD,2024-03-04,04:00:00
USD,31.539997,TWD,2024-03-04,04:00:00
USD,2544.97592,TZS,2024-03-04,04:00:00
USD,38.090983,UAH,2024-03-04,04:00:00
USD,3906.082408,UGX,2024-03-04,04:00:00
USD,1.0,USD,2024-03-04,04:00:00
USD,39.068992,UYU,2024-03-04,04:00:00
USD,12489.806713,UZS,2024-03-04,04:00:00
USD,36.035053,VES,2024-03-04,04:00:00
USD,24685.262898,VND,2024-03-04,04:00:00
USD,118.722,VUV,2024-03-04,04:00:00
USD,2.8,WST,2024-03-04,04:00:00
USD,604.905961,XAF,2024-03-04,04:00:00
USD,0.04335602,XAG,2024-03-04,04:00:00
USD,0.00048044,XAU,2024-03-04,04:00:00
USD,2.70255,XCD,2024-03-04,04:00:00
USD,0.752019,XDR,2024-03-04,04:00:00
USD,604.905961,XOF,2024-03-04,04:00:00
USD,0.00104732,XPD,2024-03-04,04:00:00
USD,110.044534,XPF,2024-03-04,04:00:00
USD,0.00112985,XPT,2024-03-04,04:00:00
USD,250.399984,YER,2024-03-04,04:00:00
USD,19.099555,ZAR,2024-03-04,04:00:00
USD,23.528273,ZMW,2024-03-04,04:00:00
USD,322.0,ZWL,2024-03-04,04:00:00
